house_title,price,more_details_link,location
4 Bed Townhouse with En Suite at Greenwood Drive,"KSh 54,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-mkomani-3672479,"Greenwood drive, Mkomani, Nyali"
3 Bed House with En Suite at Near Nairobi - Mombasa Expressway,"KSh 10,250,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-athi-river-area-2-3598432,"Near Nairobi - Mombasa Expressway, Athi River"
4 Bed Townhouse with Staff Quarters at Phase 2,"KSh 11,500,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-buruburu-3672030,"Phase 2, Buruburu"
4 Bed Townhouse with En Suite at Membley,"KSh 20,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-membley-3790129,"Membley, Ruiru"
3 Bed Villa with En Suite at Mushroom Gardens,"KSh 72,000,000",https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-kiambu-road-3777742,"mushroom gardens, Kiambu Road"
5 Bed House with En Suite at Thigiri,"KSh 145,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-thigiri-3790078,"02, Thigiri, Westlands"
5 Bed House with En Suite in Karen,"KSh 117,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3790072,Karen
4 Bed House with En Suite in Runda,"KSh 105,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3790042,"Runda, Westlands"
4 Bed Townhouse with En Suite at Kiambu Road,"KSh 30,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3790030,Kiambu Road
5 Bed House with En Suite in Runda,"KSh 350,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3790029,"Runda, Westlands"
5 Bed House with En Suite at James Gichuru,"KSh 56,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3790023,"James Gichuru, Lavington"
4 Bed House with En Suite at Corner Kamakis,"KSh 20,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-eastern-bypass-3786862,"Corner Kamakis, Eastern ByPass, Ruiru"
4 Bed House with En Suite at Mugutha,"KSh 17,500,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ruiru-3786869,"Mugutha, Ruiru"
5 Bed Villa with En Suite at Old Kitisuru,"KSh 330,000,000",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-kitisuru-3790019,"Old kitisuru, Kitisuru, Westlands"
5 Bed House with En Suite at Lavington Green,"KSh 75,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3790016,"Maziwa, Lavington Green, Lavington"
4 Bed Townhouse with En Suite at Lavington Green,"KSh 62,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3784759,"Lavington green, Lavington"
4 Bed Townhouse with En Suite in Karen,"KSh 99,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-karen-3790007,Karen
4 Bed Townhouse with En Suite in Lavington,"KSh 45,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3790006,Lavington
5 Bed Townhouse with En Suite in Lavington,"KSh 72,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790004,Lavington
4 Bed Townhouse with En Suite in Lavington,"KSh 60,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3790001,Lavington
4 Bed Villa with En Suite at Brookside Drive,"KSh 45,000,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-brookside-3789974,"Brookside Drive, Brookside, Westlands"
3 Bed House with En Suite in Kitengela,"KSh 9,000,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3789956,Kitengela
4 Bed Townhouse with En Suite in Kiambu Road,"KSh 33,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3789950,Kiambu Road
5 Bed Townhouse with En Suite in Kiambu Road,"KSh 32,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kiambu-road-3789948,Kiambu Road
4 Bed Townhouse with En Suite in Kiambu Road,"KSh 27,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3789946,Kiambu Road
4 Bed Townhouse with Walk In Closet at Muigai Prestige Estate,"KSh 16,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitengela-3772479,"Jacaranda Lane, Muigai Prestige Estate, Kitengela"
6 Bed Townhouse with En Suite in Lavington,"KSh 220,000,000",https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3782291,Lavington
4 Bed Townhouse with En Suite at Membley,"KSh 20,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-membley-3755624,"Membley, Ruiru"
3 Bed Townhouse with En Suite in Kiambu Road,"KSh 25,000,000",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kiambu-road-3789942,Kiambu Road
5 Bed Townhouse with En Suite in Kiambu Road,"KSh 83,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kiambu-road-3789939,Kiambu Road
3 Bed House with En Suite at Muigai,"KSh 9,000,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3789937,"Muigai, Kitengela"
4 Bed Townhouse with En Suite in Kiambu Road,"KSh 42,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3789933,Kiambu Road
4 Bed Townhouse with En Suite in Kitengela,"KSh 13,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitengela-3789930,Kitengela
5 Bed Townhouse with En Suite in Lavington,"KSh 81,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3789928,Lavington
4 Bed Townhouse with En Suite in Kiambu Road,"KSh 54,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3789922,Kiambu Road
4 Bed Townhouse with En Suite in Lavington,"KSh 71,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3789921,Lavington
